date,ALL,BRONX,BROOKLYN,MANHATTAN,QUEENS,STATEN ISLAND
Dec-2021,0.30,0.38,0.32,0.19,0.14,1.13
Jan-2022,0.30,0.35,0.34,0.20,0.12,1.18
Feb-2022,0.29,0.36,0.33,0.17,0.10,1.13
Mar-2022,0.49,0.51,0.54,0.41,0.28,1.37
Apr-2022,0.54,0.56,0.57,0.46,0.35,1.55
May-2022,0.74,0.78,0.78,0.61,0.61,1.73
Jun-2022,0.92,0.99,0.96,0.79,0.76,1.93
Jul-2022,1.10,1.11,1.21,0.93,1.02,2.22
Aug-2022,1.25,1.30,1.31,1.05,1.31,2.42
Sep-2022,1.48,1.55,1.54,1.21,1.62,2.68
Oct-2022,1.68,1.80,1.77,1.34,1.91,2.77
Nov-2022,1.90,2.09,1.96,1.54,2.15,2.93
Dec-2022,2.04,2.29,2.08,1.64,2.38,2.73