date,21 and under,22-29,30-39,40-49,ages 50+
2019-Oct,5.7,26.7,30.5,18.2,18.9
2019-Nov,7.6,25.7,30.9,17.9,17.9
2019-Dec,7.8,26.0,29.6,17.7,18.9
2020-Jan,8.1,26.5,28.9,17.3,19.1
2020-Feb,8.3,26.5,29.3,17.6,18.4
2020-Mar,8.3,26.3,29.6,17.4,18.4
2020-Apr,9.7,29.4,31.2,16.5,13.1
2020-May,9.6,29.9,31.2,16.4,12.9
2020-Jun,9.5,29.4,31.1,16.6,13.4
2020-Jul,9.2,28.7,31.1,17.3,13.7
2020-Aug,9.8,28.2,30.7,17.1,14.2
2020-Sep,9.9,28.8,30.0,16.7,14.7
2020-Oct,9.5,28.7,29.8,17.0,15.1
2020-Nov,9.3,28.8,29.8,17.1,15.1
2020-Dec,8.8,28.0,31.3,16.6,15.3
2021-Jan,8.6,28.2,31.7,16.2,15.3
2021-Feb,8.6,27.6,31.6,16.7,15.4
2021-Mar,8.9,27.3,32.1,17.0,14.8
2021-Apr,8.2,27.3,31.8,17.5,15.2
2021-May,8.0,27.3,31.9,17.7,15.1
2021-Jun,8.1,27.4,32.0,17.3,15.1
2021-Jul,8.1,27.6,32.0,17.2,15.1
2021-Aug,8.0,27.7,32.4,17.0,15.0
2021-Sep,8.3,28.1,32.0,16.8,14.8
2021-Oct,8.9,28.8,31.5,16.5,14.4
2021-Nov,8.9,28.9,31.3,16.5,14.5
2021-Dec,9.4,28.6,31.1,16.7,14.2
2022-Jan,9.4,28.8,31.1,16.8,13.8
2022-Feb,9.3,29.5,30.5,17.3,13.4
2022-Mar,9.7,28.9,30.5,17.3,13.6
2022-Apr,9.6,29.4,30.6,17.2,13.1
2022-May,9.5,29.8,30.8,17.1,12.9
2022-Jun,9.6,29.2,31.2,17.6,12.4
2022-Jul,9.3,29.2,30.8,18.3,12.4
2022-Aug,9.1,29.1,30.8,17.8,13.1
2022-Sep,9.2,28.6,31.0,17.6,13.6
2022-Oct,9.2,28.3,31.2,17.8,13.5
2022-Nov,9.2,28.2,31.1,18.1,13.4
2022-Dec,9.1,28.3,31.4,18.1,13.1
2023-Jan,9.3,28.0,31.3,18.1,13.3
2023-Feb,9.4,27.3,31.4,18.5,13.4